,equity
2025-12-19 20:37:06.042736+00:00,6623.7909472256615
2025-12-22 03:52:06.042736+00:00,6679.378971449046
2025-12-22 06:22:06.042736+00:00,6723.640484466909
2025-12-22 12:52:06.042736+00:00,6732.625384148589
2025-12-22 18:07:06.042736+00:00,6766.339563910438
2025-12-23 01:22:06.042736+00:00,6798.732953225913
2025-12-23 05:07:06.042736+00:00,6759.260852194328
2025-12-23 07:37:06.042736+00:00,6720.65165691549
2025-12-23 11:22:06.042736+00:00,6681.765065419688
2025-12-24 02:07:06.042736+00:00,6642.938514708338
2025-12-24 08:22:06.042736+00:00,6713.0157600358
2025-12-24 09:37:06.042736+00:00,6770.821466371713
2025-12-24 12:07:06.042736+00:00,6733.239478285716
2025-12-25 10:37:06.042736+00:00,6693.650883434521
2025-12-25 11:37:06.042736+00:00,6654.67386287843
2025-12-25 21:52:06.042736+00:00,6616.961134632968
2025-12-26 00:07:06.042736+00:00,6579.137700963397
2025-12-26 05:22:06.042736+00:00,6540.988056271093
2025-12-26 10:07:06.042736+00:00,6589.805322097435
2025-12-26 11:52:06.042736+00:00,6552.041603685429
2025-12-26 18:22:06.042736+00:00,6570.248394864219
2025-12-29 01:22:06.042736+00:00,6603.453731247604
2025-12-29 07:37:06.042736+00:00,6625.5043432126995
2025-12-29 10:52:06.042736+00:00,6586.908178503441
2025-12-29 14:07:06.042736+00:00,6548.969980324461
2025-12-30 00:52:06.042736+00:00,6510.266175260602
